away_goals,year,home_behinds,home_goals,away_behinds,away_team,home_team,venue,home_score,away_score,roundname,winner
6,2020,11,15,12,Sydney,St Kilda,Gabba,101,48,Round 9,St Kilda
10,2020,7,11,4,Geelong,West Coast,Perth Stadium,73,64,Round 9,West Coast
9,2020,11,4,7,Greater Western Sydney,Gold Coast,Carrara,35,61,Round 9,Greater Western Sydney
7,2020,1,10,7,Collingwood,Fremantle,Perth Stadium,61,49,Round 9,Fremantle
5,2020,7,8,12,Western Bulldogs,Port Adelaide,Adelaide Oval,55,42,Round 10,Port Adelaide
4,2020,10,12,17,Brisbane Lions,Richmond,Carrara,82,41,Round 10,Richmond
9,2020,12,13,3,North Melbourne,Geelong,Gabba,90,57,Round 10,Geelong
13,2020,7,5,10,Melbourne,Adelaide,Adelaide Oval,37,88,Round 10,Melbourne
6,2020,14,6,5,Sydney,Collingwood,Gabba,50,41,Round 10,Collingwood
12,2020,8,11,6,St Kilda,Gold Coast,Carrara,74,78,Round 10,St Kilda
8,2020,7,8,11,Greater Western Sydney,Essendon,Carrara,55,59,Round 10,Greater Western Sydney
11,2020,15,13,6,Richmond,Port Adelaide,Adelaide Oval,93,72,Round 11,Port Adelaide
11,2020,12,14,6,Western Bulldogs,Brisbane Lions,Gabba,96,72,Round 11,Brisbane Lions
7,2020,6,11,8,Carlton,West Coast,Perth Stadium,72,50,Round 11,West Coast
5,2020,14,13,5,North Melbourne,Melbourne,Adelaide Oval,92,35,Round 11,Melbourne
14,2020,10,4,9,Geelong,St Kilda,Gabba,34,93,Round 11,Geelong
4,2020,6,7,8,Hawthorn,Fremantle,Perth Stadium,48,32,Round 11,Fremantle
10,2020,8,5,2,Collingwood,Adelaide,Adelaide Oval,38,62,Round 11,Collingwood
11,2020,7,11,7,Essendon,Gold Coast,Carrara,73,73,Round 11,
3,2020,6,10,7,Greater Western Sydney,Sydney,Perth Stadium,66,25,Round 12,Sydney
4,2020,7,14,7,Port Adelaide,Geelong,Carrara,91,31,Round 12,Geelong
7,2020,4,8,11,Brisbane Lions,North Melbourne,Carrara,52,53,Round 12,Brisbane Lions
6,2020,4,16,8,Collingwood,Melbourne,Gabba,100,44,Round 12,Melbourne
5,2020,6,5,10,Carlton,Fremantle,Perth Stadium,36,40,Round 12,Carlton
8,2020,15,16,6,Adelaide,Western Bulldogs,Carrara,111,54,Round 12,Western Bulldogs
5,2020,8,10,3,Essendon,St Kilda,Gabba,68,33,Round 12,St Kilda
7,2020,9,12,7,Hawthorn,West Coast,Perth Stadium,81,49,Round 12,West Coast
4,2020,5,8,8,Gold Coast,Richmond,Gabba,53,32,Round 12,Richmond
7,2020,3,4,18,Carlton,Gold Coast,Marrara Oval,27,60,Round 13,Carlton
7,2020,8,12,10,Melbourne,Western Bulldogs,Carrara,80,52,Round 13,Western Bulldogs
9,2020,14,9,4,Hawthorn,Port Adelaide,Adelaide Oval,68,58,Round 13,Port Adelaide
10,2020,1,10,13,Richmond,Essendon,Marrara Oval,61,73,Round 13,Richmond
2,2020,8,7,7,Sydney,Fremantle,Perth Stadium,50,19,Round 13,Fremantle
9,2020,7,5,11,Geelong,Adelaide,Adelaide Oval,37,65,Round 13,Geelong
7,2020,14,6,6,St Kilda,Brisbane Lions,Gabba,50,48,Round 13,Brisbane Lions
7,2020,7,9,7,Greater Western Sydney,West Coast,Perth Stadium,61,49,Round 13,West Coast
5,2020,5,10,5,North Melbourne,Collingwood,Gabba,65,35,Round 13,Collingwood
13,2020,11,10,9,Essendon,Hawthorn,Adelaide Oval,71,87,Round 14,Essendon
9,2020,4,14,7,West Coast,Richmond,Carrara,88,61,Round 14,Richmond
10,2020,7,9,12,Geelong,Western Bulldogs,Carrara,61,72,Round 14,Geelong
7,2020,7,11,5,Sydney,Port Adelaide,Adelaide Oval,73,47,Round 14,Port Adelaide
14,2020,5,8,7,Greater Western Sydney,Fremantle,Perth Stadium,53,91,Round 14,Greater Western Sydney
7,2020,4,8,7,St Kilda,Melbourne,Traeger Park,52,49,Round 14,Melbourne
10,2020,6,7,12,Collingwood,Carlton,Gabba,48,72,Round 14,Collingwood
4,2020,19,12,4,North Melbourne,Gold Coast,Carrara,91,28,Round 14,Gold Coast
12,2020,6,7,11,Adelaide,Hawthorn,Adelaide Oval,48,83,Round 15,Adelaide
6,2020,6,9,9,Essendon,West Coast,Gabba,60,45,Round 15,West Coast
4,2020,8,8,5,Fremantle,Richmond,Carrara,56,29,Round 15,Richmond
6,2020,7,10,10,Melbourne,Sydney,Cazaly's Stadium,67,46,Round 15,Sydney
5,2020,12,6,9,Carlton,Greater Western Sydney,Carrara,48,39,Round 15,Greater Western Sydney
5,2020,6,6,4,Collingwood,Brisbane Lions,Gabba,42,34,Round 15,Brisbane Lions
11,2020,6,6,12,Port Adelaide,North Melbourne,Carrara,42,78,Round 16,Port Adelaide
9,2020,14,11,12,Hawthorn,St Kilda,Carrara,80,66,Round 16,St Kilda
5,2020,6,17,12,Essendon,Geelong,Gabba,108,42,Round 16,Geelong
7,2020,13,6,5,West Coast,Western Bulldogs,Carrara,49,47,Round 16,Western Bulldogs
6,2020,9,4,11,Fremantle,Melbourne,Cazaly's Stadium,33,47,Round 16,Fremantle
7,2020,11,8,5,Greater Western Sydney,Adelaide,Adelaide Oval,59,47,Round 16,Adelaide
8,2020,9,8,4,Sydney,Carlton,Carrara,57,52,Round 16,Carlton
6,2020,10,13,7,Gold Coast,Brisbane Lions,Gabba,88,43,Round 16,Brisbane Lions
9,2020,14,6,11,West Coast,St Kilda,Gabba,50,65,Round 17,West Coast
7,2020,7,4,15,Richmond,Geelong,Carrara,31,57,Round 17,Richmond
15,2020,5,5,9,Fremantle,North Melbourne,Carrara,35,99,Round 17,Fremantle
4,2020,13,11,5,Essendon,Port Adelaide,Adelaide Oval,79,29,Round 17,Port Adelaide
12,2020,8,11,7,Melbourne,Greater Western Sydney,Gabba,74,79,Round 17,Melbourne
10,2020,8,8,12,Adelaide,Carlton,Carrara,56,72,Round 17,Adelaide
11,2020,4,6,10,Western Bulldogs,Hawthorn,Adelaide Oval,40,76,Round 17,Western Bulldogs
11,2020,5,6,7,Brisbane Lions,Sydney,Cazaly's Stadium,41,73,Round 17,Brisbane Lions
6,2020,8,10,10,Gold Coast,Collingwood,Gabba,68,46,Round 17,Collingwood
12,2020,9,4,5,Richmond,Adelaide,Adelaide Oval,33,77,Round 18,Richmond
10,2020,12,11,1,Carlton,Brisbane Lions,Gabba,78,61,Round 18,Brisbane Lions
9,2020,3,7,7,Port Adelaide,Collingwood,Gabba,45,61,Round 18,Port Adelaide
10,2020,7,7,8,Melbourne,Essendon,Carrara,49,68,Round 18,Melbourne
11,2020,8,6,8,Western Bulldogs,Fremantle,Cazaly's Stadium,44,74,Round 18,Western Bulldogs
8,2020,6,17,9,Gold Coast,Hawthorn,Adelaide Oval,108,57,Round 18,Hawthorn
7,2020,10,4,7,West Coast,North Melbourne,Carrara,34,49,Round 18,West Coast
3,2020,10,12,12,Greater Western Sydney,St Kilda,Gabba,82,30,Round 18,St Kilda
10,2020,9,9,9,Geelong,Sydney,Carrara,63,69,Round 18,Geelong
5,2020,4,9,12,Geelong,Port Adelaide,Adelaide Oval,58,42,Qualifying Final,Port Adelaide
8,2020,9,10,6,Richmond,Brisbane Lions,Gabba,69,54,Qualifying Final,Brisbane Lions
9,2020,7,10,10,Western Bulldogs,St Kilda,Gabba,67,64,Elimination Final,St Kilda
12,2020,9,11,4,Collingwood,West Coast,Perth Stadium,75,76,Elimination Final,Collingwood
6,2020,8,12,13,St Kilda,Richmond,Carrara,80,49,Semi-Final,Richmond
5,2020,10,15,2,Collingwood,Geelong,Gabba,100,32,Semi-Final,Geelong
6,2020,4,6,10,Richmond,Port Adelaide,Adelaide Oval,40,46,Preliminary Final,Richmond
11,2020,6,6,16,Geelong,Brisbane Lions,Gabba,42,82,Preliminary Final,Geelong
7,2020,9,12,8,Geelong,Richmond,Gabba,81,50,Grand Final,Richmond
11,2021,15,15,14,Carlton,Richmond,M.C.G.,105,80,Round 1,Richmond
10,2021,11,7,9,Western Bulldogs,Collingwood,M.C.G.,53,69,Round 1,Western Bulldogs
8,2021,14,11,10,Fremantle,Melbourne,M.C.G.,80,58,Round 1,Melbourne
13,2021,13,15,13,Geelong,Adelaide,Adelaide Oval,103,91,Round 1,Adelaide
14,2021,13,13,8,Hawthorn,Essendon,Docklands,91,92,Round 1,Hawthorn
19,2021,10,14,11,Sydney,Brisbane Lions,Gabba,94,125,Round 1,Sydney
17,2021,11,9,15,Port Adelaide,North Melbourne,Docklands,65,117,Round 1,Port Adelaide
13,2021,12,11,8,St Kilda,Greater Western Sydney,Sydney Showground,78,86,Round 1,St Kilda
8,2021,11,12,10,Gold Coast,West Coast,Perth Stadium,83,58,Round 1,West Coast
16,2021,7,13,10,Collingwood,Carlton,M.C.G.,85,106,Round 2,Collingwood
11,2021,9,12,14,Brisbane Lions,Geelong,Kardinia Park,81,80,Round 2,Geelong
11,2021,13,18,22,Adelaide,Sydney,S.C.G.,121,88,Round 2,Sydney
9,2021,11,18,11,Essendon,Port Adelaide,Adelaide Oval,119,65,Round 2,Port Adelaide
12,2021,7,11,19,Melbourne,St Kilda,Docklands,73,91,Round 2,Melbourne
5,2021,14,14,9,North Melbourne,Gold Coast,Carrara,98,39,Round 2,Gold Coast
11,2021,7,7,12,Richmond,Hawthorn,M.C.G.,49,78,Round 2,Richmond
14,2021,16,14,9,West Coast,Western Bulldogs,Docklands,100,93,Round 2,Western Bulldogs
7,2021,21,11,14,Greater Western Sydney,Fremantle,Perth Stadium,87,56,Round 2,Fremantle
11,2021,6,11,7,Brisbane Lions,Collingwood,Docklands,72,73,Round 3,Brisbane Lions
25,2021,9,5,17,Western Bulldogs,North Melbourne,Docklands,39,167,Round 3,Western Bulldogs
12,2021,11,14,13,Gold Coast,Adelaide,Adelaide Oval,95,85,Round 3,Adelaide
17,2021,12,10,15,Sydney,Richmond,M.C.G.,72,117,Round 3,Sydney
9,2021,11,22,14,St Kilda,Essendon,Docklands,143,68,Round 3,Essendon
11,2021,12,16,5,Port Adelaide,West Coast,Perth Stadium,108,71,Round 3,West Coast
9,2021,13,16,10,Fremantle,Carlton,Docklands,109,64,Round 3,Carlton
15,2021,2,11,12,Melbourne,Greater Western Sydney,Manuka Oval,68,102,Round 3,Melbourne
9,2021,9,10,10,Hawthorn,Geelong,M.C.G.,69,64,Round 3,Geelong
12,2021,17,11,8,Essendon,Sydney,S.C.G.,83,80,Round 4,Sydney
11,2021,13,11,11,Richmond,Port Adelaide,Adelaide Oval,79,77,Round 4,Port Adelaide
8,2021,13,10,6,Brisbane Lions,Western Bulldogs,Eureka Stadium,73,54,Round 4,Western Bulldogs
13,2021,12,15,4,West Coast,St Kilda,Docklands,102,82,Round 4,St Kilda
9,2021,11,8,16,Carlton,Gold Coast,Carrara,59,70,Round 4,Carlton
14,2021,6,9,6,Greater Western Sydney,Collingwood,M.C.G.,60,90,Round 4,Greater Western Sydney
16,2021,8,10,13,Adelaide,North Melbourne,Docklands,68,109,Round 4,Adelaide
9,2021,13,12,6,Geelong,Melbourne,M.C.G.,85,60,Round 4,Melbourne
12,2021,18,13,9,Hawthorn,Fremantle,Perth Stadium,96,81,Round 4,Fremantle
20,2021,6,7,14,Richmond,St Kilda,Docklands,48,134,Round 5,Richmond
11,2021,7,16,10,Collingwood,West Coast,Perth Stadium,103,76,Round 5,West Coast
8,2021,16,17,8,Gold Coast,Western Bulldogs,Docklands,118,56,Round 5,Western Bulldogs
9,2021,9,10,17,Greater Western Sydney,Sydney,S.C.G.,69,71,Round 5,Greater Western Sydney
15,2021,14,9,6,Port Adelaide,Carlton,M.C.G.,68,96,Round 5,Port Adelaide
6,2021,12,15,9,Essendon,Brisbane Lions,Gabba,102,45,Round 5,Brisbane Lions
12,2021,6,11,12,Fremantle,Adelaide,Adelaide Oval,72,84,Round 5,Fremantle
15,2021,6,8,14,Melbourne,Hawthorn,M.C.G.,54,104,Round 5,Melbourne
7,2021,17,10,5,North Melbourne,Geelong,Kardinia Park,77,47,Round 5,Geelong
15,2021,11,9,14,Western Bulldogs,Greater Western Sydney,Manuka Oval,65,104,Round 6,Western Bulldogs
5,2021,10,21,9,West Coast,Geelong,Kardinia Park,136,39,Round 6,Geelong
9,2021,10,15,6,Sydney,Gold Coast,Carrara,100,60,Round 6,Gold Coast
15,2021,13,12,13,Brisbane Lions,Carlton,Docklands,85,103,Round 6,Brisbane Lions
6,2021,10,12,12,Richmond,Melbourne,M.C.G.,82,48,Round 6,Melbourne
6,2021,15,14,12,North Melbourne,Fremantle,Perth Stadium,99,48,Round 6,Fremantle
16,2021,12,15,3,Adelaide,Hawthorn,York Park,102,99,Round 6,Hawthorn
16,2021,7,13,13,Essendon,Collingwood,M.C.G.,85,109,Round 6,Essendon
5,2021,9,14,9,St Kilda,Port Adelaide,Adelaide Oval,93,39,Round 6,Port Adelaide
5,2021,15,13,14,Port Adelaide,Brisbane Lions,Gabba,93,44,Round 7,Brisbane Lions
12,2021,13,7,7,Gold Coast,Collingwood,M.C.G.,55,79,Round 7,Gold Coast
19,2021,11,16,9,Carlton,Essendon,M.C.G.,107,123,Round 7,Carlton
16,2021,7,11,7,Melbourne,North Melbourne,Bellerive Oval,73,103,Round 7,Melbourne
7,2021,11,11,13,Western Bulldogs,Richmond,M.C.G.,77,55,Round 7,Richmond
9,2021,14,19,5,Hawthorn,St Kilda,Docklands,128,59,Round 7,St Kilda
12,2021,6,14,16,Geelong,Sydney,S.C.G.,90,88,Round 7,Sydney
15,2021,15,4,16,Greater Western Sydney,Adelaide,Adelaide Oval,39,106,Round 7,Greater Western Sydney
11,2021,12,20,7,Fremantle,West Coast,Perth Stadium,132,73,Round 7,West Coast
8,2021,12,7,15,St Kilda,Gold Coast,Carrara,54,63,Round 8,St Kilda
16,2021,11,16,9,Essendon,Greater Western Sydney,Sydney Showground,107,105,Round 8,Greater Western Sydney
14,2021,12,8,14,West Coast,Hawthorn,M.C.G.,60,98,Round 8,West Coast
8,2021,7,10,10,Sydney,Melbourne,M.C.G.,67,58,Round 8,Melbourne
14,2021,10,11,10,Collingwood,North Melbourne,Docklands,76,94,Round 8,Collingwood
19,2021,9,9,12,Geelong,Richmond,M.C.G.,63,126,Round 8,Geelong
13,2021,11,16,13,Carlton,Western Bulldogs,Docklands,107,91,Round 8,Western Bulldogs
5,2021,15,12,8,Adelaide,Port Adelaide,Adelaide Oval,87,38,Round 8,Port Adelaide
10,2021,11,14,11,Fremantle,Brisbane Lions,Gabba,95,71,Round 8,Brisbane Lions
8,2021,8,10,13,Fremantle,Essendon,Docklands,68,61,Round 9,Essendon
19,2021,9,7,10,Brisbane Lions,Gold Coast,Carrara,51,124,Round 9,Brisbane Lions
13,2021,8,12,9,North Melbourne,Hawthorn,York Park,80,87,Round 9,North Melbourne
10,2021,16,13,8,Carlton,Melbourne,M.C.G.,94,68,Round 9,Melbourne
12,2021,9,13,11,Greater Western Sydney,Richmond,Docklands,87,83,Round 9,Richmond
10,2021,17,5,8,Geelong,St Kilda,Docklands,47,68,Round 9,Geelong
5,2021,12,10,12,Collingwood,Sydney,S.C.G.,72,42,Round 9,Sydney
15,2021,5,12,6,Western Bulldogs,Port Adelaide,Adelaide Oval,77,96,Round 9,Western Bulldogs
11,2021,10,16,10,Adelaide,West Coast,Perth Stadium,106,76,Round 9,West Coast
11,2021,12,15,8,Richmond,Brisbane Lions,Gabba,102,74,Round 10,Brisbane Lions
9,2021,8,13,9,Hawthorn,Carlton,M.C.G.,86,63,Round 10,Carlton
8,2021,10,8,11,Port Adelaide,Collingwood,M.C.G.,58,59,Round 10,Port Adelaide
10,2021,9,22,9,North Melbourne,Essendon,Docklands,141,69,Round 10,Essendon
8,2021,7,14,9,Gold Coast,Geelong,Kardinia Park,91,57,Round 10,Geelong
11,2021,15,13,11,West Coast,Greater Western Sydney,Sydney Showground,93,77,Round 10,Greater Western Sydney
5,2021,18,21,3,St Kilda,Western Bulldogs,Docklands,144,33,Round 10,Western Bulldogs
14,2021,6,15,11,Melbourne,Adelaide,Adelaide Oval,96,95,Round 10,Adelaide
13,2021,14,12,6,Sydney,Fremantle,Perth Stadium,86,84,Round 10,Fremantle
10,2021,15,19,5,Greater Western Sydney,Brisbane Lions,Gabba,129,65,Round 11,Brisbane Lions
8,2021,15,6,13,Geelong,Collingwood,M.C.G.,51,61,Round 11,Geelong
12,2021,9,17,11,Adelaide,Richmond,Sydney Showground,111,83,Round 11,Richmond
10,2021,16,12,8,North Melbourne,St Kilda,Docklands,88,68,Round 11,St Kilda
11,2021,10,15,12,Carlton,Sydney,S.C.G.,100,78,Round 11,Sydney
13,2021,11,8,9,Melbourne,Western Bulldogs,Docklands,59,87,Round 11,Melbourne
11,2021,11,17,10,Hawthorn,Gold Coast,S.C.G.,113,76,Round 11,Gold Coast
9,2021,7,18,15,Fremantle,Port Adelaide,Adelaide Oval,115,69,Round 11,Port Adelaide
12,2021,5,11,15,Essendon,West Coast,Perth Stadium,71,87,Round 11,Essendon
14,2021,13,10,11,West Coast,Carlton,S.C.G.,73,95,Round 12,West Coast
19,2021,12,12,9,Richmond,Essendon,Perth Stadium,84,123,Round 12,Richmond
12,2021,14,13,11,St Kilda,Sydney,S.C.G.,92,83,Round 12,Sydney
12,2021,13,10,6,Collingwood,Adelaide,Adelaide Oval,73,78,Round 12,Collingwood
11,2021,13,14,9,Brisbane Lions,Melbourne,Sydney Showground,97,75,Round 12,Melbourne
13,2021,11,9,15,Western Bulldogs,Fremantle,Perth Stadium,65,93,Round 12,Western Bulldogs
11,2021,9,9,14,Collingwood,Melbourne,S.C.G.,63,80,Round 13,Collingwood
14,2021,10,14,10,Greater Western Sydney,North Melbourne,Bellerive Oval,94,94,Round 13,
9,2021,12,8,12,Adelaide,St Kilda,Cazaly's Stadium,60,66,Round 13,Adelaide
14,2021,9,7,5,Hawthorn,Sydney,S.C.G.,51,89,Round 13,Hawthorn
17,2021,7,14,10,Geelong,Port Adelaide,Adelaide Oval,91,112,Round 13,Geelong
6,2021,10,11,13,Gold Coast,Fremantle,Perth Stadium,76,49,Round 13,Fremantle
11,2021,11,12,12,Western Bulldogs,Geelong,Kardinia Park,83,78,Round 14,Geelong
12,2021,7,4,9,Port Adelaide,Gold Coast,Carrara,31,81,Round 14,Port Adelaide
9,2021,6,16,12,Carlton,Greater Western Sydney,Sydney Showground,102,66,Round 14,Greater Western Sydney
13,2021,13,10,8,Essendon,Hawthorn,York Park,73,86,Round 14,Essendon
9,2021,9,6,14,Brisbane Lions,North Melbourne,Bellerive Oval,45,68,Round 14,Brisbane Lions
12,2021,7,13,9,Richmond,West Coast,Perth Stadium,85,81,Round 13,West Coast
7,2021,16,13,8,Geelong,Brisbane Lions,Gabba,94,50,Round 15,Brisbane Lions
10,2021,11,12,13,Adelaide,Carlton,Docklands,83,73,Round 15,Carlton
14,2021,7,12,7,Fremantle,Collingwood,Docklands,79,91,Round 15,Fremantle
9,2021,9,8,14,Melbourne,Essendon,M.C.G.,57,68,Round 15,Melbourne
13,2021,6,11,12,Hawthorn,Greater Western Sydney,M.C.G.,72,90,Round 15,Hawthorn
9,2021,18,9,9,Gold Coast,North Melbourne,Bellerive Oval,72,63,Round 15,North Melbourne
9,2021,10,2,8,St Kilda,Richmond,M.C.G.,22,62,Round 15,St Kilda
10,2021,9,12,11,Sydney,Port Adelaide,Adelaide Oval,81,71,Round 15,Port Adelaide
13,2021,7,6,20,Western Bulldogs,West Coast,Perth Stadium,43,98,Round 15,Western Bulldogs
10,2021,13,8,10,St Kilda,Collingwood,M.C.G.,61,70,Round 16,St Kilda
8,2021,8,15,9,Essendon,Geelong,Kardinia Park,98,57,Round 16,Geelong
10,2021,17,10,7,Richmond,Gold Coast,Docklands,77,67,Round 16,Gold Coast
13,2021,11,7,9,Port Adelaide,Hawthorn,Docklands,53,87,Round 16,Port Adelaide
9,2021,13,7,10,Greater Western Sydney,Melbourne,M.C.G.,55,64,Round 16,Greater Western Sydney
3,2021,10,18,8,West Coast,Sydney,Kardinia Park,118,26,Round 16,Sydney
11,2021,12,16,13,North Melbourne,Western Bulldogs,Docklands,108,79,Round 16,Western Bulldogs
17,2021,11,8,9,Brisbane Lions,Adelaide,Adelaide Oval,59,111,Round 16,Brisbane Lions
12,2021,16,8,8,Carlton,Fremantle,M.C.G.,64,80,Round 16,Carlton
14,2021,15,8,11,St Kilda,Brisbane Lions,Carrara,63,95,Round 17,St Kilda
10,2021,14,5,10,Geelong,Carlton,M.C.G.,44,70,Round 17,Geelong
2,2021,18,11,9,Adelaide,Essendon,Docklands,84,21,Round 17,Essendon
10,2021,10,9,5,Gold Coast,Greater Western Sydney,Eureka Stadium,64,65,Round 17,Gold Coast
16,2021,10,6,12,Fremantle,Hawthorn,York Park,46,108,Round 17,Fremantle
13,2021,5,11,9,Collingwood,Richmond,M.C.G.,71,87,Round 17,Collingwood
11,2021,12,8,13,Sydney,Western Bulldogs,Docklands,60,79,Round 17,Sydney
12,2021,7,8,14,Melbourne,Port Adelaide,Adelaide Oval,55,86,Round 17,Melbourne
10,2021,12,8,10,North Melbourne,West Coast,Perth Stadium,60,70,Round 17,North Melbourne
13,2021,8,9,13,Carlton,Collingwood,M.C.G.,62,91,Round 18,Carlton
14,2021,13,11,6,Western Bulldogs,Gold Coast,Carrara,79,90,Round 18,Western Bulldogs
15,2021,6,11,8,Sydney,Greater Western Sydney,Carrara,72,98,Round 18,Sydney
12,2021,13,11,7,Hawthorn,Melbourne,M.C.G.,79,79,Round 18,
13,2021,8,11,14,Essendon,North Melbourne,Carrara,74,92,Round 18,Essendon
13,2021,10,16,8,Brisbane Lions,Richmond,Carrara,106,86,Round 18,Richmond
10,2021,13,8,14,Port Adelaide,St Kilda,Docklands,61,74,Round 18,Port Adelaide
14,2021,8,8,14,West Coast,Adelaide,Adelaide Oval,56,98,Round 18,West Coast
14,2021,13,3,16,Geelong,Fremantle,Perth Stadium,31,100,Round 18,Geelong
18,2021,11,11,8,North Melbourne,Carlton,Docklands,77,116,Round 19,North Melbourne
9,2021,11,7,12,Greater Western Sydney,Essendon,Carrara,53,66,Round 19,Greater Western Sydney
8,2021,5,15,9,Richmond,Geelong,M.C.G.,95,57,Round 19,Geelong
18,2021,6,4,20,Melbourne,Gold Coast,Docklands,30,128,Round 20,Melbourne
12,2021,8,14,8,Brisbane Lions,Hawthorn,York Park,92,80,Round 20,Hawthorn
8,2021,14,14,10,Fremantle,Sydney,Carrara,98,58,Round 19,Sydney
8,2021,15,15,8,Adelaide,Western Bulldogs,Eureka Stadium,105,56,Round 20,Western Bulldogs
10,2021,13,14,9,Collingwood,Port Adelaide,Docklands,97,69,Round 19,Port Adelaide
13,2021,10,14,8,St Kilda,West Coast,Perth Stadium,94,86,Round 19,West Coast
10,2021,18,17,11,Gold Coast,Brisbane Lions,Gabba,120,71,Round 19,Brisbane Lions
6,2021,6,14,9,West Coast,Collingwood,M.C.G.,90,45,Round 20,Collingwood
17,2021,6,16,7,Sydney,Essendon,M.C.G.,102,109,Round 20,Sydney
15,2021,7,11,10,Port Adelaide,Greater Western Sydney,Docklands,73,100,Round 20,Port Adelaide
13,2021,11,9,7,Western Bulldogs,Melbourne,M.C.G.,65,85,Round 19,Western Bulldogs
8,2021,6,6,14,Geelong,North Melbourne,Bellerive Oval,42,62,Round 20,Geelong
18,2021,9,12,4,Carlton,St Kilda,Docklands,81,112,Round 20,Carlton
13,2021,6,16,5,Hawthorn,Adelaide,Docklands,102,83,Round 19,Adelaide
6,2021,13,7,15,Richmond,Fremantle,Perth Stadium,55,51,Round 20,Fremantle
18,2021,6,8,10,Brisbane Lions,Fremantle,Perth Stadium,54,118,Round 21,Brisbane Lions
11,2021,9,8,10,Gold Coast,Carlton,Docklands,57,76,Round 21,Gold Coast
13,2021,17,8,6,Greater Western Sydney,Geelong,Kardinia Park,65,84,Round 21,Greater Western Sydney
12,2021,7,15,6,Collingwood,Hawthorn,M.C.G.,97,78,Round 21,Hawthorn
8,2021,11,13,8,North Melbourne,Richmond,M.C.G.,89,56,Round 21,Richmond
10,2021,9,14,4,Sydney,St Kilda,Docklands,93,64,Round 21,St Kilda
15,2021,12,12,7,Essendon,Western Bulldogs,Docklands,84,97,Round 21,Essendon
7,2021,9,7,13,Port Adelaide,Adelaide,Adelaide Oval,51,55,Round 21,Port Adelaide
10,2021,9,9,12,Melbourne,West Coast,Perth Stadium,63,72,Round 21,Melbourne
8,2021,10,22,9,Collingwood,Brisbane Lions,Gabba,142,57,Round 22,Brisbane Lions
11,2021,7,13,5,St Kilda,Geelong,Kardinia Park,85,71,Round 22,Geelong
14,2021,6,4,14,Essendon,Gold Coast,Kardinia Park,30,98,Round 22,Essendon
10,2021,10,16,7,Richmond,Greater Western Sydney,Docklands,106,67,Round 22,Greater Western Sydney
5,2021,10,9,7,Western Bulldogs,Hawthorn,York Park,64,37,Round 22,Hawthorn
9,2021,8,16,9,Adelaide,Melbourne,M.C.G.,104,63,Round 22,Melbourne
13,2021,5,12,13,Sydney,North Melbourne,Docklands,77,91,Round 22,Sydney
5,2021,14,21,15,Carlton,Port Adelaide,Adelaide Oval,140,45,Round 22,Port Adelaide
9,2021,7,12,10,West Coast,Fremantle,Perth Stadium,79,64,Round 22,Fremantle
13,2021,11,19,9,West Coast,Brisbane Lions,Gabba,125,87,Round 23,Brisbane Lions
12,2021,9,11,17,Greater Western Sydney,Carlton,Docklands,75,89,Round 23,Greater Western Sydney
9,2021,6,16,10,Collingwood,Essendon,M.C.G.,102,64,Round 23,Essendon
12,2021,5,12,9,Melbourne,Geelong,Kardinia Park,77,81,Round 23,Melbourne
12,2021,11,12,11,Hawthorn,Richmond,M.C.G.,83,83,Round 23,
6,2021,5,17,13,Fremantle,St Kilda,Bellerive Oval,107,49,Round 23,St Kilda
6,2021,10,21,13,Gold Coast,Sydney,Docklands,136,49,Round 23,Sydney
9,2021,4,10,12,Port Adelaide,Western Bulldogs,Docklands,64,66,Round 23,Port Adelaide
8,2021,20,13,6,North Melbourne,Adelaide,Adelaide Oval,98,54,Round 23,Adelaide
4,2021,7,13,12,Essendon,Western Bulldogs,York Park,85,36,Elimination Final,Western Bulldogs
11,2021,13,10,8,Greater Western Sydney,Sydney,York Park,73,74,Elimination Final,Greater Western Sydney
9,2021,15,13,6,Brisbane Lions,Melbourne,Adelaide Oval,93,60,Qualifying Final,Melbourne
5,2021,14,12,13,Geelong,Port Adelaide,Adelaide Oval,86,43,Qualifying Final,Port Adelaide
11,2021,12,11,13,Western Bulldogs,Brisbane Lions,Gabba,78,79,Semi-Final,Western Bulldogs
10,2021,13,15,8,Greater Western Sydney,Geelong,Perth Stadium,103,68,Semi-Final,Geelong
6,2021,11,19,6,Geelong,Melbourne,Perth Stadium,125,42,Preliminary Final,Melbourne
17,2021,9,6,14,Western Bulldogs,Port Adelaide,Adelaide Oval,45,116,Preliminary Final,Western Bulldogs
10,2021,14,21,6,Western Bulldogs,Melbourne,Perth Stadium,140,66,Grand Final,Melbourne
