away_goals,year,home_behinds,home_goals,away_behinds,away_team,home_team,venue,home_score,away_score,roundname,winner
10,2015,18,10,9,Greater Western Sydney,Richmond,M.C.G.,78,69,Round 14,Richmond
10,2015,11,19,10,North Melbourne,Gold Coast,Carrara,125,70,Round 14,Gold Coast
7,2015,10,9,11,Carlton,Western Bulldogs,Docklands,64,53,Round 14,Western Bulldogs
16,2015,6,9,18,West Coast,Melbourne,Marrara Oval,60,114,Round 14,West Coast
25,2015,4,8,12,St Kilda,Essendon,Docklands,52,162,Round 14,St Kilda
7,2015,6,13,6,Brisbane Lions,Fremantle,Subiaco,84,48,Round 14,Fremantle
9,2015,12,9,9,Collingwood,Port Adelaide,Adelaide Oval,66,63,Round 15,Port Adelaide
5,2015,11,10,11,Carlton,Richmond,M.C.G.,71,41,Round 15,Richmond
7,2015,9,10,18,Melbourne,Essendon,M.C.G.,69,60,Round 15,Essendon
11,2015,11,14,7,Gold Coast,Western Bulldogs,Cazaly's Stadium,95,73,Round 15,Western Bulldogs
11,2015,12,18,13,Geelong,North Melbourne,Docklands,120,79,Round 15,North Melbourne
14,2015,15,22,7,Adelaide,West Coast,Subiaco,147,91,Round 15,West Coast
6,2015,12,12,13,St Kilda,Greater Western Sydney,Sydney Showground,84,49,Round 15,Greater Western Sydney
6,2015,13,17,7,Fremantle,Hawthorn,University of Tasmania Stadium,115,43,Round 15,Hawthorn
10,2015,7,7,10,Sydney,Brisbane Lions,Gabba,49,70,Round 15,Sydney
9,2015,9,14,14,Essendon,North Melbourne,Docklands,93,68,Round 16,North Melbourne
9,2015,12,10,10,Western Bulldogs,Geelong,GMHBA Stadium,72,64,Round 16,Geelong
13,2015,7,12,16,Greater Western Sydney,Gold Coast,Carrara,79,94,Round 16,Greater Western Sydney
11,2015,14,7,21,West Coast,Collingwood,Docklands,56,87,Round 16,West Coast
23,2015,15,7,8,Hawthorn,Sydney,Stadium Australia,57,146,Round 16,Hawthorn
8,2015,17,13,5,Carlton,Fremantle,Subiaco,95,53,Round 16,Fremantle
4,2015,12,8,12,Brisbane Lions,Melbourne,M.C.G.,60,36,Round 16,Melbourne
18,2015,11,17,8,Adelaide,Port Adelaide,Adelaide Oval,113,116,Round 16,Adelaide
13,2015,13,10,11,Richmond,St Kilda,Docklands,73,89,Round 16,Richmond
27,2015,11,4,11,Hawthorn,Carlton,Docklands,35,173,Round 17,Hawthorn
9,2015,6,6,15,Geelong,Greater Western Sydney,UNSW Canberra Oval,42,69,Round 17,Geelong
12,2015,11,19,8,Gold Coast,Adelaide,Adelaide Oval,125,80,Round 17,Adelaide
12,2015,18,10,10,Fremantle,Richmond,M.C.G.,78,82,Round 17,Fremantle
16,2015,8,5,14,North Melbourne,Brisbane Lions,Gabba,38,110,Round 17,North Melbourne
20,2015,14,17,9,Port Adelaide,Essendon,Docklands,116,129,Round 17,Port Adelaide
13,2015,14,15,8,Collingwood,Western Bulldogs,Docklands,104,86,Round 17,Western Bulldogs
12,2015,10,6,11,St Kilda,Melbourne,M.C.G.,46,83,Round 17,St Kilda
7,2015,13,15,9,Sydney,West Coast,Subiaco,103,51,Round 17,West Coast
10,2015,11,7,11,Richmond,Hawthorn,M.C.G.,53,71,Round 18,Richmond
8,2015,11,17,9,Brisbane Lions,Geelong,GMHBA Stadium,113,57,Round 18,Geelong
13,2015,12,7,13,Melbourne,Collingwood,M.C.G.,54,91,Round 18,Melbourne
9,2015,15,17,11,Adelaide,Sydney,S.C.G.,117,65,Round 18,Sydney
18,2015,6,8,10,North Melbourne,Carlton,Docklands,54,118,Round 18,North Melbourne
11,2015,11,12,17,West Coast,Gold Coast,Carrara,83,83,Round 18,
6,2015,10,17,13,St Kilda,Port Adelaide,Adelaide Oval,112,49,Round 18,Port Adelaide
19,2015,10,5,13,Western Bulldogs,Essendon,Docklands,40,127,Round 18,Western Bulldogs
9,2015,12,12,9,Greater Western Sydney,Fremantle,Subiaco,84,63,Round 18,Fremantle
8,2015,22,11,4,Richmond,Adelaide,Adelaide Oval,88,52,Round 19,Adelaide
13,2015,9,16,9,Carlton,Collingwood,M.C.G.,105,87,Round 19,Collingwood
9,2015,14,19,10,Port Adelaide,Western Bulldogs,Docklands,128,64,Round 19,Western Bulldogs
17,2015,16,14,12,Gold Coast,Brisbane Lions,Gabba,100,114,Round 19,Gold Coast
9,2015,11,14,9,Sydney,Geelong,GMHBA Stadium,95,63,Round 19,Geelong
13,2015,8,11,10,Hawthorn,West Coast,Subiaco,74,88,Round 19,Hawthorn
19,2015,8,14,13,North Melbourne,Melbourne,M.C.G.,92,127,Round 19,North Melbourne
8,2015,9,14,13,Essendon,Greater Western Sydney,Sydney Showground,93,61,Round 19,Greater Western Sydney
15,2015,11,8,6,Fremantle,St Kilda,Docklands,59,96,Round 19,Fremantle
10,2015,9,13,16,Collingwood,Sydney,S.C.G.,87,76,Round 20,Sydney
27,2015,11,8,9,Adelaide,Essendon,Docklands,59,171,Round 20,Adelaide
11,2015,12,18,17,St Kilda,North Melbourne,Bellerive Oval,120,83,Round 20,North Melbourne
13,2015,15,16,12,Greater Western Sydney,Port Adelaide,Adelaide Oval,111,90,Round 20,Port Adelaide
19,2015,13,12,7,Hawthorn,Geelong,M.C.G.,85,121,Round 20,Hawthorn
9,2015,11,20,13,Carlton,Brisbane Lions,Gabba,131,67,Round 20,Brisbane Lions
8,2015,6,22,7,Gold Coast,Richmond,M.C.G.,138,55,Round 20,Richmond
8,2015,9,24,7,Melbourne,Western Bulldogs,Docklands,153,55,Round 20,Western Bulldogs
15,2015,14,11,14,West Coast,Fremantle,Subiaco,80,104,Round 20,West Coast
16,2015,8,13,12,Port Adelaide,Hawthorn,Docklands,86,108,Round 21,Port Adelaide
23,2015,14,7,9,Richmond,Collingwood,M.C.G.,56,147,Round 21,Richmond
20,2015,8,6,13,Sydney,Greater Western Sydney,Sydney Showground,44,133,Round 21,Sydney
14,2015,13,14,11,Essendon,Gold Coast,Carrara,97,95,Round 21,Gold Coast
15,2015,13,14,7,Geelong,St Kilda,Docklands,97,97,Round 21,
6,2015,11,20,8,Brisbane Lions,Adelaide,Adelaide Oval,131,44,Round 21,Adelaide
12,2015,10,14,11,Fremantle,North Melbourne,Docklands,94,83,Round 21,North Melbourne
7,2015,6,12,13,Melbourne,Carlton,M.C.G.,78,55,Round 21,Carlton
13,2015,12,25,7,Western Bulldogs,West Coast,Subiaco,162,85,Round 21,West Coast
17,2015,8,9,8,Collingwood,Geelong,M.C.G.,62,110,Round 22,Collingwood
7,2015,12,20,9,Carlton,Greater Western Sydney,Sydney Showground,132,51,Round 22,Greater Western Sydney
9,2015,8,21,8,Brisbane Lions,Hawthorn,University of Tasmania Stadium,134,62,Round 22,Hawthorn
14,2015,13,10,12,Western Bulldogs,North Melbourne,Docklands,73,96,Round 22,Western Bulldogs
10,2015,5,7,14,Richmond,Essendon,M.C.G.,47,74,Round 22,Richmond
12,2015,9,7,16,Port Adelaide,Gold Coast,Carrara,51,88,Round 22,Port Adelaide
10,2015,12,19,9,West Coast,Adelaide,Adelaide Oval,126,69,Round 22,Adelaide
20,2015,14,4,15,Sydney,St Kilda,Docklands,38,135,Round 22,Sydney
