winner,roundname,home_score,away_behinds,away_score,year,home_behinds,away_goals,away_team,venue,home_goals,home_team,points_away,points_home,state
Gold Coast,Round 18,105,9.0,81,2016,9.0,12.0,Fremantle,Carrara,16.0,Gold Coast,21.0,25.0,Queensland
West Coast,Round 18,66,12.0,60,2016,6.0,8.0,Melbourne,Subiaco,10.0,West Coast,20.0,16.0,Western Australia
St Kilda,Round 18,60,9.0,75,2016,6.0,11.0,St Kilda,Docklands,9.0,Western Bulldogs,20.0,15.0,Victoria
Geelong,Round 18,85,13.0,55,2016,13.0,7.0,Adelaide,Kardinia Park,12.0,Geelong,20.0,25.0,Victoria
Brisbane Lions,Round 18,91,8.0,128,2016,19.0,20.0,Brisbane Lions,Docklands,12.0,Essendon,28.0,31.0,Victoria
Hawthorn,Round 18,114,14.0,44,2016,18.0,5.0,Richmond,M.C.G.,16.0,Hawthorn,19.0,34.0,Victoria
Greater Western Sydney,Round 18,60,13.0,79,2016,6.0,11.0,Greater Western Sydney,Adelaide Oval,9.0,Port Adelaide,24.0,15.0,South Australia
Geelong,Round 19,103,12.0,78,2016,7.0,11.0,Western Bulldogs,Kardinia Park,16.0,Geelong,23.0,23.0,Victoria
Greater Western Sydney,Round 19,111,5.0,23,2016,9.0,3.0,Richmond,Manuka Oval,17.0,Greater Western Sydney,8.0,26.0,New South Wales
Hawthorn,Round 19,74,13.0,55,2016,14.0,7.0,Carlton,York Park,10.0,Hawthorn,20.0,24.0,Victoria
Collingwood,Round 19,91,6.0,72,2016,13.0,11.0,West Coast,M.C.G.,13.0,Collingwood,17.0,26.0,Victoria
North Melbourne,Round 19,85,14.0,62,2016,13.0,8.0,St Kilda,Docklands,12.0,North Melbourne,22.0,25.0,Victoria
Port Adelaide,Round 19,79,23.0,173,2016,13.0,25.0,Port Adelaide,Gabba,11.0,Brisbane Lions,48.0,24.0,Queensland
Melbourne,Round 19,66,10.0,64,2016,12.0,9.0,Gold Coast,M.C.G.,9.0,Melbourne,19.0,21.0,Victoria
Sydney,Round 19,47,11.0,137,2016,5.0,21.0,Sydney,Subiaco,7.0,Fremantle,32.0,12.0,Western Australia
Adelaide,Round 19,143,7.0,61,2016,11.0,9.0,Essendon,Adelaide Oval,22.0,Adelaide,16.0,33.0,South Australia
Richmond,Round 20,92,11.0,77,2016,8.0,11.0,Collingwood,M.C.G.,14.0,Richmond,22.0,22.0,Victoria
Sydney,Round 20,100,9.0,33,2016,16.0,4.0,Port Adelaide,S.C.G.,14.0,Sydney,13.0,30.0,New South Wales
Melbourne,Round 20,110,15.0,81,2016,8.0,11.0,Hawthorn,M.C.G.,17.0,Melbourne,26.0,25.0,Victoria
Greater Western Sydney,Round 20,84,8.0,92,2016,6.0,14.0,Greater Western Sydney,Carrara,13.0,Gold Coast,22.0,19.0,Queensland
Western Bulldogs,Round 20,61,5.0,47,2016,7.0,7.0,North Melbourne,Docklands,9.0,Western Bulldogs,12.0,16.0,Victoria
Adelaide,Round 20,177,3.0,39,2016,15.0,6.0,Brisbane Lions,Adelaide Oval,27.0,Adelaide,9.0,42.0,South Australia
Geelong,Round 20,100,10.0,34,2016,10.0,4.0,Essendon,Docklands,15.0,Geelong,14.0,25.0,Victoria
St Kilda,Round 20,51,8.0,122,2016,9.0,19.0,St Kilda,M.C.G.,7.0,Carlton,27.0,16.0,Victoria
West Coast,Round 20,64,8.0,110,2016,10.0,17.0,West Coast,Subiaco,9.0,Fremantle,25.0,19.0,Western Australia
Western Bulldogs,Round 21,95,8.0,92,2016,11.0,14.0,Collingwood,Docklands,14.0,Western Bulldogs,22.0,25.0,Victoria
Brisbane Lions,Round 21,99,17.0,95,2016,9.0,13.0,Carlton,Gabba,15.0,Brisbane Lions,30.0,24.0,Queensland
Hawthorn,Round 21,96,9.0,57,2016,12.0,8.0,North Melbourne,M.C.G.,14.0,Hawthorn,17.0,26.0,Victoria
West Coast,Round 21,96,13.0,97,2016,12.0,14.0,West Coast,Sydney Showground,14.0,Greater Western Sydney,27.0,26.0,New South Wales
Sydney,Round 21,76,8.0,146,2016,10.0,23.0,Sydney,Docklands,11.0,St Kilda,31.0,21.0,Victoria
Melbourne,Round 21,54,16.0,94,2016,6.0,13.0,Melbourne,Adelaide Oval,8.0,Port Adelaide,29.0,14.0,South Australia
Essendon,Round 21,75,15.0,69,2016,9.0,9.0,Gold Coast,Docklands,11.0,Essendon,24.0,20.0,Victoria
Geelong,Round 21,78,22.0,82,2016,6.0,10.0,Geelong,M.C.G.,12.0,Richmond,32.0,18.0,Victoria
Adelaide,Round 21,70,16.0,142,2016,4.0,21.0,Adelaide,Subiaco,11.0,Fremantle,37.0,15.0,Western Australia
West Coast,Round 22,92,7.0,67,2016,14.0,10.0,Hawthorn,Subiaco,13.0,West Coast,17.0,27.0,Western Australia
Sydney,Round 22,76,13.0,85,2016,16.0,12.0,Sydney,Bellerive Oval,10.0,North Melbourne,25.0,26.0,Victoria
St Kilda,Round 22,46,13.0,55,2016,10.0,7.0,St Kilda,M.C.G.,6.0,Richmond,20.0,16.0,Victoria
Greater Western Sydney,Round 22,129,7.0,37,2016,15.0,5.0,Fremantle,Sydney Showground,19.0,Greater Western Sydney,12.0,34.0,New South Wales
Collingwood,Round 22,118,11.0,47,2016,22.0,6.0,Gold Coast,Docklands,16.0,Collingwood,17.0,38.0,Victoria
Adelaide,Round 22,94,19.0,109,2016,10.0,15.0,Adelaide,Adelaide Oval,14.0,Port Adelaide,34.0,24.0,South Australia
Carlton,Round 22,78,16.0,58,2016,12.0,7.0,Melbourne,M.C.G.,11.0,Carlton,23.0,23.0,Victoria
Geelong,Round 22,69,15.0,129,2016,9.0,19.0,Geelong,Gabba,10.0,Brisbane Lions,34.0,19.0,Queensland
Western Bulldogs,Round 22,53,9.0,93,2016,11.0,14.0,Western Bulldogs,Docklands,7.0,Essendon,23.0,18.0,Victoria
West Coast,Round 23,71,16.0,100,2016,11.0,14.0,West Coast,Adelaide Oval,10.0,Adelaide,30.0,21.0,South Australia
Geelong,Round 23,155,8.0,44,2016,11.0,6.0,Melbourne,Kardinia Park,24.0,Geelong,14.0,35.0,Victoria
Essendon,Round 23,103,19.0,79,2016,13.0,10.0,Carlton,M.C.G.,15.0,Essendon,29.0,28.0,Victoria
Sydney,Round 23,164,9.0,51,2016,14.0,7.0,Richmond,S.C.G.,25.0,Sydney,16.0,39.0,New South Wales
Port Adelaide,Round 23,66,11.0,89,2016,12.0,13.0,Port Adelaide,Carrara,9.0,Gold Coast,24.0,21.0,Queensland
Greater Western Sydney,Round 23,63,16.0,100,2016,9.0,14.0,Greater Western Sydney,Docklands,9.0,North Melbourne,30.0,18.0,Victoria
St Kilda,Round 23,161,13.0,103,2016,11.0,15.0,Brisbane Lions,Docklands,25.0,St Kilda,28.0,36.0,Victoria
Hawthorn,Round 23,112,9.0,111,2016,10.0,17.0,Collingwood,M.C.G.,17.0,Hawthorn,26.0,27.0,Victoria
Fremantle,Round 23,69,13.0,49,2016,9.0,6.0,Western Bulldogs,Subiaco,10.0,Fremantle,19.0,19.0,Western Australia
Western Bulldogs,Elimination Final,52,15.0,99,2016,10.0,14.0,Western Bulldogs,Subiaco,7.0,West Coast,29.0,17.0,Western Australia
Geelong,Qualifying Final,85,11.0,83,2016,13.0,12.0,Hawthorn,M.C.G.,12.0,Geelong,23.0,25.0,Victoria
Greater Western Sydney,Qualifying Final,55,19.0,91,2016,13.0,12.0,Greater Western Sydney,Stadium Australia,7.0,Sydney,31.0,20.0,New South Wales
Adelaide,Elimination Final,141,7.0,79,2016,15.0,12.0,North Melbourne,Adelaide Oval,21.0,Adelaide,19.0,36.0,South Australia
Western Bulldogs,Semi-Final,84,11.0,107,2016,12.0,16.0,Western Bulldogs,M.C.G.,12.0,Hawthorn,27.0,24.0,Victoria
Sydney,Semi-Final,118,10.0,82,2016,10.0,12.0,Adelaide,S.C.G.,18.0,Sydney,22.0,28.0,New South Wales
Sydney,Preliminary Final,60,7.0,97,2016,12.0,15.0,Sydney,M.C.G.,8.0,Geelong,22.0,20.0,Victoria
Western Bulldogs,Preliminary Final,83,11.0,89,2016,11.0,13.0,Western Bulldogs,Sydney Showground,12.0,Greater Western Sydney,24.0,23.0,New South Wales
Western Bulldogs,Grand Final,67,11.0,89,2016,7.0,13.0,Western Bulldogs,M.C.G.,10.0,Sydney,24.0,17.0,New South Wales
Carlton,Round 1,104,6.0,84,2011,20.0,13.0,Richmond,M.C.G.,14.0,Carlton,19.0,34.0,Victoria
Geelong,Round 1,48,11.0,47,2011,12.0,6.0,St Kilda,M.C.G.,6.0,Geelong,17.0,18.0,Victoria
Collingwood,Round 1,155,8.0,80,2011,11.0,12.0,Port Adelaide,Docklands,24.0,Collingwood,20.0,35.0,Victoria
Adelaide,Round 1,105,13.0,85,2011,9.0,12.0,Hawthorn,Football Park,16.0,Adelaide,25.0,25.0,South Australia
Fremantle,Round 1,92,16.0,94,2011,8.0,13.0,Fremantle,Gabba,14.0,Brisbane Lions,29.0,22.0,Queensland
Essendon,Round 1,113,10.0,58,2011,17.0,8.0,Western Bulldogs,Docklands,16.0,Essendon,18.0,33.0,Victoria
,Round 1,84,18.0,84,2011,18.0,11.0,Sydney,M.C.G.,11.0,Melbourne,29.0,29.0,Victoria
West Coast,Round 1,92,10.0,88,2011,14.0,13.0,North Melbourne,Subiaco,13.0,West Coast,23.0,27.0,Western Australia
,Round 2,95,11.0,95,2011,17.0,14.0,Richmond,M.C.G.,13.0,St Kilda,25.0,30.0,Victoria
Collingwood,Round 2,56,17.0,143,2011,14.0,21.0,Collingwood,Docklands,7.0,North Melbourne,38.0,21.0,Victoria
West Coast,Round 2,98,20.0,116,2011,8.0,16.0,West Coast,Football Park,15.0,Port Adelaide,36.0,23.0,South Australia
Carlton,Round 2,52,15.0,171,2011,10.0,26.0,Carlton,Gabba,7.0,Gold Coast,41.0,17.0,Queensland
Geelong,Round 2,78,11.0,89,2011,18.0,13.0,Geelong,Subiaco,10.0,Fremantle,24.0,28.0,Western Australia
Western Bulldogs,Round 2,123,9.0,45,2011,9.0,6.0,Brisbane Lions,Docklands,19.0,Western Bulldogs,15.0,28.0,Victoria
Sydney,Round 2,98,15.0,93,2011,14.0,13.0,Essendon,Stadium Australia,14.0,Sydney,28.0,28.0,New South Wales
Hawthorn,Round 2,122,5.0,77,2011,26.0,12.0,Melbourne,M.C.G.,16.0,Hawthorn,17.0,42.0,Victoria
Collingwood,Round 3,102,8.0,74,2011,12.0,11.0,Carlton,M.C.G.,15.0,Collingwood,19.0,27.0,Victoria
Western Bulldogs,Round 3,122,9.0,51,2011,14.0,7.0,Gold Coast,Docklands,18.0,Western Bulldogs,16.0,32.0,Victoria
Fremantle,Round 3,54,13.0,79,2011,12.0,11.0,Fremantle,Football Park,7.0,Adelaide,24.0,19.0,South Australia
Hawthorn,Round 3,52,13.0,115,2011,16.0,17.0,Hawthorn,M.C.G.,6.0,Richmond,30.0,22.0,Victoria
Sydney,Round 3,88,11.0,101,2011,10.0,15.0,Sydney,Subiaco,13.0,West Coast,26.0,23.0,Western Australia
Melbourne,Round 3,82,5.0,71,2011,10.0,11.0,Brisbane Lions,M.C.G.,12.0,Melbourne,16.0,22.0,Victoria
Geelong,Round 3,122,7.0,43,2011,20.0,6.0,Port Adelaide,GMHBA Stadium,17.0,Geelong,13.0,37.0,Victoria
Essendon,Round 3,84,10.0,136,2011,12.0,21.0,Essendon,Docklands,12.0,St Kilda,31.0,24.0,Victoria
Collingwood,Round 4,90,17.0,161,2011,12.0,24.0,Collingwood,M.C.G.,13.0,Richmond,41.0,25.0,Victoria
Hawthorn,Round 4,72,11.0,65,2011,12.0,9.0,West Coast,University of Tasmania Stadium,10.0,Hawthorn,20.0,22.0,Victoria
,Round 4,79,13.0,79,2011,13.0,11.0,Essendon,M.C.G.,11.0,Carlton,24.0,24.0,Victoria
Geelong,Round 4,54,15.0,81,2011,12.0,11.0,Geelong,S.C.G.,7.0,Sydney,26.0,19.0,New South Wales
Port Adelaide,Round 4,98,12.0,66,2011,14.0,9.0,Adelaide,Football Park,14.0,Port Adelaide,21.0,28.0,South Australia
Melbourne,Round 4,69,21.0,159,2011,15.0,23.0,Melbourne,Gabba,9.0,Gold Coast,44.0,24.0,Queensland
Fremantle,Round 4,127,14.0,98,2011,19.0,14.0,North Melbourne,Subiaco,18.0,Fremantle,28.0,37.0,Western Australia
St Kilda,Round 5,76,11.0,89,2011,10.0,13.0,St Kilda,Gabba,11.0,Brisbane Lions,24.0,21.0,Queensland
Gold Coast,Round 5,101,14.0,104,2011,11.0,15.0,Gold Coast,Football Park,15.0,Port Adelaide,29.0,26.0,South Australia
Carlton,Round 5,85,7.0,79,2011,19.0,12.0,Adelaide,Docklands,11.0,Carlton,19.0,30.0,Victoria
Richmond,Round 5,103,10.0,112,2011,19.0,17.0,Richmond,Docklands,14.0,North Melbourne,27.0,33.0,Victoria
Collingwood,Round 5,77,11.0,107,2011,11.0,16.0,Collingwood,M.C.G.,11.0,Essendon,27.0,22.0,Victoria
Fremantle,Round 5,85,12.0,78,2011,13.0,11.0,Western Bulldogs,Subiaco,12.0,Fremantle,23.0,25.0,Western Australia
Geelong,Round 5,98,15.0,117,2011,8.0,17.0,Geelong,M.C.G.,15.0,Hawthorn,32.0,23.0,Victoria
West Coast,Round 6,106,16.0,52,2011,16.0,6.0,Melbourne,Subiaco,15.0,West Coast,22.0,31.0,Western Australia
Carlton,Round 6,71,15.0,87,2011,11.0,12.0,Carlton,S.C.G.,10.0,Sydney,27.0,21.0,New South Wales
North Melbourne,Round 6,133,13.0,73,2011,25.0,10.0,Port Adelaide,Docklands,18.0,North Melbourne,23.0,43.0,Victoria
Richmond,Round 6,124,14.0,98,2011,16.0,14.0,Brisbane Lions,M.C.G.,18.0,Richmond,28.0,34.0,Victoria
Adelaide,Round 6,90,17.0,71,2011,12.0,9.0,St Kilda,Football Park,13.0,Adelaide,26.0,25.0,South Australia
Essendon,Round 6,197,10.0,58,2011,11.0,8.0,Gold Coast,Docklands,31.0,Essendon,18.0,42.0,Victoria
Collingwood,Round 6,105,9.0,57,2011,15.0,8.0,Western Bulldogs,M.C.G.,15.0,Collingwood,17.0,30.0,Victoria
Hawthorn,Round 7,72,14.0,104,2011,12.0,15.0,Hawthorn,Football Park,10.0,Port Adelaide,29.0,22.0,South Australia
Sydney,Round 7,65,13.0,73,2011,5.0,10.0,Sydney,UNSW Canberra Oval,10.0,Western Bulldogs,23.0,15.0,Victoria
Geelong,Round 7,127,7.0,61,2011,13.0,9.0,North Melbourne,GMHBA Stadium,19.0,Geelong,16.0,32.0,Victoria
Richmond,Round 7,148,15.0,99,2011,10.0,14.0,Fremantle,M.C.G.,23.0,Richmond,29.0,33.0,Victoria
Gold Coast,Round 7,124,14.0,116,2011,16.0,17.0,Brisbane Lions,Gabba,18.0,Gold Coast,31.0,34.0,Queensland
Essendon,Round 7,106,18.0,90,2011,10.0,12.0,West Coast,Docklands,16.0,Essendon,30.0,26.0,Victoria
Melbourne,Round 7,149,5.0,53,2011,17.0,8.0,Adelaide,M.C.G.,22.0,Melbourne,13.0,39.0,Victoria
Carlton,Round 7,81,18.0,84,2011,9.0,11.0,Carlton,Docklands,12.0,St Kilda,29.0,21.0,Victoria
Geelong,Round 8,65,8.0,62,2011,17.0,9.0,Collingwood,M.C.G.,8.0,Geelong,17.0,25.0,Victoria
North Melbourne,Round 8,124,11.0,83,2011,10.0,12.0,Melbourne,Docklands,19.0,North Melbourne,23.0,29.0,Victoria
Adelaide,Round 8,130,19.0,73,2011,10.0,9.0,Gold Coast,Football Park,20.0,Adelaide,28.0,30.0,South Australia
Essendon,Round 8,66,12.0,102,2011,12.0,15.0,Essendon,Gabba,9.0,Brisbane Lions,27.0,21.0,Queensland
Sydney,Round 8,121,5.0,59,2011,13.0,9.0,Port Adelaide,S.C.G.,18.0,Sydney,14.0,31.0,New South Wales
Hawthorn,Round 8,99,9.0,69,2011,15.0,10.0,St Kilda,M.C.G.,14.0,Hawthorn,19.0,29.0,Victoria
Western Bulldogs,Round 8,153,10.0,118,2011,15.0,18.0,Richmond,Docklands,23.0,Western Bulldogs,28.0,38.0,Victoria
West Coast,Round 8,96,9.0,63,2011,12.0,9.0,Fremantle,Subiaco,14.0,West Coast,18.0,26.0,Western Australia
Geelong,Round 9,100,12.0,102,2011,16.0,15.0,Geelong,Docklands,14.0,Carlton,27.0,30.0,Victoria
St Kilda,Round 9,106,8.0,86,2011,10.0,13.0,Melbourne,Docklands,16.0,St Kilda,21.0,26.0,Victoria
Fremantle,Round 9,90,16.0,142,2011,6.0,21.0,Fremantle,Football Park,14.0,Port Adelaide,37.0,20.0,South Australia
Brisbane Lions,Round 9,73,11.0,59,2011,13.0,8.0,North Melbourne,Gabba,10.0,Brisbane Lions,19.0,23.0,Queensland
Richmond,Round 9,105,11.0,89,2011,9.0,13.0,Essendon,M.C.G.,16.0,Richmond,24.0,25.0,Victoria
Collingwood,Round 9,135,8.0,92,2011,15.0,14.0,Adelaide,Docklands,20.0,Collingwood,22.0,35.0,Victoria
Hawthorn,Round 9,60,16.0,106,2011,12.0,15.0,Hawthorn,S.C.G.,8.0,Sydney,31.0,20.0,New South Wales
West Coast,Round 9,175,4.0,52,2011,19.0,8.0,Western Bulldogs,Subiaco,26.0,West Coast,12.0,45.0,Western Australia
Carlton,Round 10,46,15.0,93,2011,10.0,13.0,Carlton,M.C.G.,6.0,Melbourne,28.0,16.0,Victoria
Sydney,Round 10,71,12.0,72,2011,17.0,10.0,Sydney,Docklands,9.0,North Melbourne,22.0,26.0,Victoria
St Kilda,Round 10,56,12.0,102,2011,14.0,15.0,St Kilda,Subiaco,7.0,Fremantle,27.0,21.0,Western Australia
Geelong,Round 10,73,13.0,139,2011,13.0,21.0,Geelong,Carrara,10.0,Gold Coast,34.0,23.0,Queensland
Port Adelaide,Round 10,74,11.0,89,2011,14.0,13.0,Port Adelaide,Marrara Oval,10.0,Richmond,24.0,24.0,Victoria
Brisbane Lions,Round 10,61,11.0,101,2011,13.0,15.0,Brisbane Lions,Football Park,8.0,Adelaide,26.0,21.0,South Australia
Collingwood,Round 10,105,11.0,53,2011,9.0,7.0,West Coast,M.C.G.,16.0,Collingwood,18.0,25.0,Victoria
Hawthorn,Round 10,62,13.0,91,2011,8.0,13.0,Hawthorn,Docklands,9.0,Western Bulldogs,26.0,17.0,Victoria
Melbourne,Round 11,68,11.0,101,2011,8.0,15.0,Melbourne,M.C.G.,10.0,Essendon,26.0,18.0,Victoria
Geelong,Round 11,148,9.0,87,2011,10.0,13.0,Western Bulldogs,GMHBA Stadium,23.0,Geelong,22.0,33.0,Victoria
West Coast,Round 11,85,7.0,67,2011,7.0,10.0,Gold Coast,Subiaco,13.0,West Coast,17.0,20.0,Western Australia
Collingwood,Round 11,108,9.0,51,2011,12.0,7.0,St Kilda,M.C.G.,16.0,Collingwood,16.0,28.0,Victoria
Sydney,Round 11,51,14.0,116,2011,9.0,17.0,Sydney,Gabba,7.0,Brisbane Lions,31.0,16.0,Queensland
Hawthorn,Round 11,111,11.0,89,2011,9.0,13.0,Fremantle,M.C.G.,17.0,Hawthorn,24.0,26.0,Victoria
North Melbourne,Round 11,115,8.0,68,2011,7.0,10.0,Adelaide,Docklands,18.0,North Melbourne,18.0,25.0,Victoria
Carlton,Round 11,49,15.0,111,2011,7.0,16.0,Carlton,Football Park,7.0,Port Adelaide,31.0,14.0,South Australia
St Kilda,Round 12,81,9.0,57,2011,9.0,8.0,Western Bulldogs,Docklands,12.0,St Kilda,17.0,21.0,Victoria
West Coast,Round 12,67,16.0,106,2011,7.0,15.0,West Coast,Football Park,10.0,Adelaide,31.0,17.0,South Australia
North Melbourne,Round 12,63,14.0,122,2011,9.0,18.0,North Melbourne,Carrara,9.0,Gold Coast,32.0,18.0,Queensland
Geelong,Round 12,88,5.0,83,2011,10.0,13.0,Hawthorn,M.C.G.,13.0,Geelong,18.0,23.0,Victoria
Carlton,Round 12,124,9.0,63,2011,10.0,9.0,Brisbane Lions,Docklands,19.0,Carlton,18.0,29.0,Victoria
Sydney,Round 12,75,11.0,65,2011,21.0,9.0,Richmond,S.C.G.,9.0,Sydney,20.0,30.0,New South Wales
Fremantle,Round 12,98,10.0,64,2011,8.0,9.0,Essendon,Subiaco,15.0,Fremantle,19.0,23.0,Western Australia
Collingwood,Round 12,41,15.0,129,2011,5.0,19.0,Collingwood,M.C.G.,6.0,Melbourne,34.0,11.0,Victoria
Western Bulldogs,Round 13,100,10.0,70,2011,16.0,10.0,Adelaide,Docklands,14.0,Western Bulldogs,20.0,30.0,Victoria
Hawthorn,Round 13,129,10.0,58,2011,15.0,8.0,Gold Coast,University of Tasmania Stadium,19.0,Hawthorn,18.0,34.0,Victoria
North Melbourne,Round 13,90,9.0,111,2011,18.0,17.0,North Melbourne,Docklands,12.0,Essendon,26.0,30.0,Victoria
Richmond,Round 13,94,17.0,125,2011,10.0,18.0,Richmond,Gabba,14.0,Brisbane Lions,35.0,24.0,Queensland
Geelong,Round 13,72,10.0,100,2011,6.0,15.0,Geelong,M.C.G.,11.0,St Kilda,25.0,17.0,Victoria
Melbourne,Round 13,149,12.0,60,2011,17.0,8.0,Fremantle,M.C.G.,22.0,Melbourne,20.0,39.0,Victoria
Carlton,Round 13,100,6.0,66,2011,10.0,10.0,Sydney,Docklands,15.0,Carlton,16.0,25.0,Victoria
West Coast,Round 13,110,10.0,88,2011,20.0,13.0,Port Adelaide,Subiaco,15.0,West Coast,23.0,35.0,Western Australia
Hawthorn,Round 14,146,9.0,81,2011,8.0,12.0,Essendon,M.C.G.,23.0,Hawthorn,21.0,31.0,Victoria
Western Bulldogs,Round 14,88,8.0,110,2011,10.0,17.0,Western Bulldogs,Carrara,13.0,Gold Coast,25.0,23.0,Queensland
Melbourne,Round 14,91,16.0,118,2011,13.0,17.0,Melbourne,M.C.G.,13.0,Richmond,33.0,26.0,Victoria
Collingwood,Round 14,93,21.0,99,2011,9.0,13.0,Collingwood,Stadium Australia,14.0,Sydney,34.0,23.0,New South Wales
Fremantle,Round 14,88,5.0,65,2011,16.0,10.0,Brisbane Lions,Subiaco,12.0,Fremantle,15.0,28.0,Western Australia
Geelong,Round 14,125,13.0,73,2011,11.0,10.0,Adelaide,GMHBA Stadium,19.0,Geelong,23.0,30.0,Victoria
West Coast,Round 14,67,13.0,103,2011,7.0,15.0,West Coast,Docklands,10.0,Carlton,28.0,17.0,Victoria
North Melbourne,Round 14,91,10.0,136,2011,7.0,21.0,North Melbourne,Football Park,14.0,Port Adelaide,31.0,21.0,South Australia
Western Bulldogs,Round 15,127,15.0,63,2011,13.0,8.0,Melbourne,Docklands,19.0,Western Bulldogs,23.0,32.0,Victoria
Carlton,Round 15,81,16.0,184,2011,9.0,28.0,Carlton,M.C.G.,12.0,Richmond,44.0,21.0,Victoria
Fremantle,Round 15,112,8.0,62,2011,10.0,9.0,Gold Coast,Subiaco,17.0,Fremantle,17.0,27.0,Western Australia
Essendon,Round 15,115,15.0,111,2011,7.0,16.0,Geelong,Docklands,18.0,Essendon,31.0,25.0,Victoria
Adelaide,Round 15,57,14.0,50,2011,9.0,6.0,Sydney,Football Park,8.0,Adelaide,20.0,17.0,South Australia
Brisbane Lions,Round 15,99,10.0,88,2011,9.0,13.0,Port Adelaide,Gabba,15.0,Brisbane Lions,23.0,24.0,Queensland
Collingwood,Round 15,106,11.0,65,2011,16.0,9.0,Hawthorn,M.C.G.,15.0,Collingwood,20.0,31.0,Victoria
St Kilda,Round 15,70,7.0,79,2011,10.0,12.0,St Kilda,Docklands,10.0,North Melbourne,19.0,20.0,Victoria
West Coast,Round 16,96,10.0,88,2011,12.0,13.0,Geelong,Subiaco,14.0,West Coast,23.0,26.0,Western Australia
Hawthorn,Round 16,105,9.0,63,2011,9.0,9.0,Brisbane Lions,University of Tasmania Stadium,16.0,Hawthorn,18.0,25.0,Victoria
Sydney,Round 16,36,16.0,106,2011,12.0,15.0,Sydney,Carrara,4.0,Gold Coast,31.0,16.0,Queensland
Essendon,Round 16,105,12.0,66,2011,15.0,9.0,Richmond,M.C.G.,15.0,Essendon,21.0,30.0,Victoria
Collingwood,Round 16,147,12.0,30,2011,15.0,3.0,North Melbourne,M.C.G.,22.0,Collingwood,15.0,37.0,Victoria
St Kilda,Round 16,53,7.0,109,2011,5.0,17.0,St Kilda,Football Park,8.0,Port Adelaide,24.0,13.0,South Australia
Western Bulldogs,Round 16,96,15.0,69,2011,12.0,9.0,Carlton,Docklands,14.0,Western Bulldogs,24.0,26.0,Victoria
Essendon,Round 17,73,12.0,84,2011,13.0,12.0,Essendon,Football Park,10.0,Adelaide,24.0,23.0,South Australia
Gold Coast,Round 17,70,13.0,85,2011,16.0,12.0,Gold Coast,Cazaly's Stadium,9.0,Richmond,25.0,25.0,Victoria
Collingwood,Round 17,79,20.0,98,2011,13.0,13.0,Collingwood,M.C.G.,11.0,Carlton,33.0,24.0,Victoria
St Kilda,Round 17,82,7.0,61,2011,4.0,9.0,West Coast,Docklands,13.0,St Kilda,16.0,17.0,Victoria
Melbourne,Round 17,113,8.0,92,2011,11.0,14.0,Port Adelaide,Marrara Oval,17.0,Melbourne,22.0,28.0,Victoria
Fremantle,Round 17,87,8.0,98,2011,9.0,15.0,Fremantle,S.C.G.,13.0,Sydney,23.0,22.0,New South Wales
Geelong,Round 17,104,13.0,133,2011,14.0,20.0,Geelong,Gabba,15.0,Brisbane Lions,33.0,29.0,Queensland
North Melbourne,Round 17,142,9.0,111,2011,16.0,17.0,Western Bulldogs,Docklands,21.0,North Melbourne,26.0,37.0,Victoria
St Kilda,Round 18,127,6.0,24,2011,13.0,3.0,Adelaide,Docklands,19.0,St Kilda,9.0,32.0,Victoria
North Melbourne,Round 18,122,11.0,77,2011,20.0,11.0,Brisbane Lions,Docklands,17.0,North Melbourne,22.0,37.0,Victoria
Sydney,Round 18,114,9.0,75,2011,18.0,11.0,Western Bulldogs,S.C.G.,16.0,Sydney,20.0,34.0,New South Wales
Collingwood,Round 18,75,15.0,129,2011,9.0,19.0,Collingwood,Carrara,11.0,Gold Coast,34.0,20.0,Queensland
Carlton,Round 18,79,9.0,153,2011,7.0,24.0,Carlton,M.C.G.,12.0,Essendon,33.0,19.0,Victoria
Geelong,Round 18,113,9.0,51,2011,11.0,7.0,Richmond,Docklands,17.0,Geelong,16.0,28.0,Victoria
Hawthorn,Round 18,78,12.0,132,2011,6.0,20.0,Hawthorn,M.C.G.,12.0,Melbourne,32.0,18.0,Victoria
West Coast,Round 18,64,17.0,65,2011,10.0,8.0,West Coast,Subiaco,9.0,Fremantle,25.0,19.0,Western Australia
Carlton,Round 19,62,14.0,80,2011,8.0,11.0,Carlton,Docklands,9.0,North Melbourne,25.0,17.0,Victoria
West Coast,Round 19,95,13.0,103,2011,5.0,15.0,West Coast,Docklands,15.0,Western Bulldogs,28.0,20.0,Victoria
Geelong,Round 19,233,5.0,47,2011,11.0,7.0,Melbourne,GMHBA Stadium,37.0,Geelong,12.0,48.0,Victoria
St Kilda,Round 19,54,14.0,74,2011,18.0,10.0,St Kilda,Carrara,6.0,Gold Coast,24.0,24.0,Queensland
Hawthorn,Round 19,44,17.0,95,2011,8.0,13.0,Hawthorn,Subiaco,6.0,Fremantle,30.0,14.0,Western Australia
Collingwood,Round 19,166,8.0,92,2011,16.0,14.0,Essendon,M.C.G.,25.0,Collingwood,22.0,41.0,Victoria
Adelaide,Round 19,111,13.0,79,2011,15.0,11.0,Port Adelaide,Football Park,16.0,Adelaide,24.0,31.0,South Australia
St Kilda,Round 20,113,12.0,72,2011,17.0,10.0,Fremantle,Docklands,16.0,St Kilda,22.0,33.0,Victoria
