winner,roundname,home_score,away_behinds,away_score,year,home_behinds,away_goals,away_team,venue,home_goals,home_team,points_away,points_home,state
Richmond,Round 16,79,12.0,54,2014,7.0,7.0,Brisbane Lions,M.C.G.,12.0,Richmond,19.0,19.0,Victoria
Adelaide,Round 16,72,20.0,140,2014,18.0,20.0,Adelaide,Sydney Showground,9.0,Greater Western Sydney,40.0,27.0,New South Wales
Gold Coast,Round 16,80,15.0,75,2014,14.0,10.0,Collingwood,Carrara,11.0,Gold Coast,25.0,25.0,Queensland
Fremantle,Round 16,34,7.0,97,2014,10.0,15.0,Fremantle,Marrara Oval,4.0,Melbourne,22.0,14.0,Victoria
Essendon,Round 16,60,14.0,62,2014,18.0,8.0,Essendon,Adelaide Oval,7.0,Port Adelaide,22.0,25.0,South Australia
Carlton,Round 16,151,6.0,66,2014,7.0,10.0,St Kilda,Docklands,24.0,Carlton,16.0,31.0,Victoria
Sydney,Round 16,51,19.0,79,2014,9.0,10.0,Sydney,Subiaco,7.0,West Coast,29.0,16.0,Western Australia
Geelong,Round 16,69,14.0,56,2014,9.0,7.0,Western Bulldogs,GMHBA Stadium,10.0,Geelong,21.0,19.0,Victoria
Hawthorn,Round 17,92,14.0,104,2014,8.0,15.0,Hawthorn,Adelaide Oval,14.0,Adelaide,29.0,22.0,South Australia
Geelong,Round 17,36,18.0,102,2014,6.0,14.0,Geelong,M.C.G.,5.0,Melbourne,32.0,11.0,Victoria
North Melbourne,Round 17,92,15.0,33,2014,14.0,3.0,St Kilda,Bellerive Oval,13.0,North Melbourne,18.0,27.0,Victoria
Western Bulldogs,Round 17,94,12.0,66,2014,16.0,9.0,Gold Coast,Cazaly's Stadium,13.0,Western Bulldogs,21.0,29.0,Victoria
West Coast,Round 17,64,10.0,76,2014,10.0,11.0,West Coast,Gabba,9.0,Brisbane Lions,21.0,19.0,Queensland
Sydney,Round 17,122,9.0,51,2014,14.0,7.0,Carlton,S.C.G.,18.0,Sydney,16.0,32.0,New South Wales
Richmond,Round 17,126,10.0,106,2014,12.0,16.0,Port Adelaide,Docklands,19.0,Richmond,26.0,31.0,Victoria
Essendon,Round 17,103,9.0,39,2014,7.0,5.0,Collingwood,M.C.G.,16.0,Essendon,14.0,23.0,Victoria
Fremantle,Round 17,136,6.0,60,2014,10.0,9.0,Greater Western Sydney,Subiaco,21.0,Fremantle,15.0,31.0,Western Australia
Carlton,Round 18,109,8.0,86,2014,13.0,13.0,North Melbourne,Docklands,16.0,Carlton,21.0,29.0,Victoria
St Kilda,Round 18,118,6.0,60,2014,16.0,9.0,Fremantle,Docklands,17.0,St Kilda,15.0,33.0,Victoria
Geelong,Round 18,87,16.0,94,2014,15.0,13.0,Geelong,Sydney Showground,12.0,Greater Western Sydney,29.0,27.0,New South Wales
Port Adelaide,Round 18,72,9.0,69,2014,12.0,10.0,Melbourne,Adelaide Oval,10.0,Port Adelaide,19.0,22.0,South Australia
Essendon,Round 18,94,11.0,101,2014,10.0,15.0,Essendon,Docklands,14.0,Western Bulldogs,26.0,24.0,Victoria
Richmond,Round 18,42,11.0,59,2014,6.0,8.0,Richmond,Subiaco,6.0,West Coast,19.0,12.0,Western Australia
Brisbane Lions,Round 18,110,8.0,56,2014,14.0,8.0,Gold Coast,Gabba,16.0,Brisbane Lions,16.0,30.0,Queensland
Hawthorn,Round 18,104,16.0,94,2014,14.0,13.0,Sydney,M.C.G.,15.0,Hawthorn,29.0,29.0,Victoria
Adelaide,Round 18,82,14.0,98,2014,10.0,14.0,Adelaide,M.C.G.,12.0,Collingwood,28.0,22.0,Victoria
Fremantle,Round 19,83,12.0,78,2014,11.0,11.0,Carlton,Subiaco,12.0,Fremantle,23.0,23.0,Western Australia
Sydney,Round 19,79,9.0,57,2014,13.0,8.0,Essendon,S.C.G.,11.0,Sydney,17.0,24.0,New South Wales
West Coast,Round 19,105,16.0,136,2014,9.0,20.0,West Coast,Adelaide Oval,16.0,Adelaide,36.0,25.0,South Australia
Richmond,Round 19,89,14.0,62,2014,11.0,8.0,Greater Western Sydney,M.C.G.,13.0,Richmond,22.0,24.0,Victoria
Gold Coast,Round 19,117,10.0,64,2014,15.0,9.0,St Kilda,Carrara,17.0,Gold Coast,19.0,32.0,Queensland
Geelong,Round 19,79,15.0,111,2014,19.0,16.0,Geelong,Docklands,10.0,North Melbourne,31.0,29.0,Victoria
Brisbane Lions,Round 19,51,8.0,74,2014,15.0,11.0,Brisbane Lions,Docklands,6.0,Melbourne,19.0,21.0,Victoria
Hawthorn,Round 19,107,9.0,45,2014,11.0,6.0,Western Bulldogs,University of Tasmania Stadium,16.0,Hawthorn,15.0,27.0,Victoria
Collingwood,Round 19,76,10.0,70,2014,10.0,10.0,Port Adelaide,M.C.G.,11.0,Collingwood,20.0,21.0,Victoria
Richmond,Round 20,95,11.0,77,2014,11.0,11.0,Essendon,M.C.G.,14.0,Richmond,22.0,25.0,Victoria
North Melbourne,Round 20,51,12.0,126,2014,9.0,19.0,North Melbourne,UNSW Canberra Oval,7.0,Greater Western Sydney,31.0,16.0,New South Wales
Carlton,Round 20,97,10.0,58,2014,13.0,8.0,Gold Coast,Docklands,14.0,Carlton,18.0,27.0,Victoria
Hawthorn,Round 20,115,11.0,65,2014,13.0,9.0,Melbourne,M.C.G.,17.0,Hawthorn,20.0,30.0,Victoria
Sydney,Round 20,58,12.0,84,2014,16.0,12.0,Sydney,Adelaide Oval,7.0,Port Adelaide,24.0,23.0,South Australia
Geelong,Round 20,81,13.0,79,2014,9.0,11.0,Fremantle,GMHBA Stadium,12.0,Geelong,24.0,21.0,Victoria
Adelaide,Round 20,63,18.0,168,2014,9.0,25.0,Adelaide,Gabba,9.0,Brisbane Lions,43.0,18.0,Queensland
Western Bulldogs,Round 20,99,14.0,122,2014,9.0,18.0,Western Bulldogs,Docklands,15.0,St Kilda,32.0,24.0,Victoria
West Coast,Round 20,126,6.0,66,2014,12.0,10.0,Collingwood,Subiaco,19.0,West Coast,16.0,31.0,Western Australia
Geelong,Round 21,76,16.0,82,2014,10.0,11.0,Geelong,Docklands,11.0,Carlton,27.0,21.0,Victoria
Sydney,Round 21,127,8.0,56,2014,13.0,8.0,St Kilda,S.C.G.,19.0,Sydney,16.0,32.0,New South Wales
